,course_title,start_date,students_number
126,Руководитель digital-проектов,2016-06-01,0
127,Руководитель digital-проектов,2016-07-01,0
128,Руководитель digital-проектов,2016-08-01,0
129,Руководитель digital-проектов,2016-09-01,0
130,Руководитель digital-проектов,2016-10-01,0
131,Руководитель digital-проектов,2016-11-01,0
132,Руководитель digital-проектов,2016-12-01,0
133,Руководитель digital-проектов,2017-01-01,0
134,Руководитель digital-проектов,2017-02-01,0
135,Руководитель digital-проектов,2017-03-01,0
136,Руководитель digital-проектов,2017-04-01,0
137,Руководитель digital-проектов,2017-05-01,1
138,Руководитель digital-проектов,2017-06-01,1
139,Руководитель digital-проектов,2017-07-01,1
140,Руководитель digital-проектов,2017-08-01,1
141,Руководитель digital-проектов,2017-09-01,3
142,Руководитель digital-проектов,2017-10-01,3
143,Руководитель digital-проектов,2017-11-01,2
144,Руководитель digital-проектов,2017-12-01,2
145,Руководитель digital-проектов,2018-01-01,34
146,Руководитель digital-проектов,2018-02-01,90
147,Руководитель digital-проектов,2018-03-01,109
148,Руководитель digital-проектов,2018-04-01,102
149,Руководитель digital-проектов,2018-05-01,102
150,Руководитель digital-проектов,2018-06-01,98
151,Руководитель digital-проектов,2018-07-01,119
152,Руководитель digital-проектов,2018-08-01,116
153,Руководитель digital-проектов,2018-09-01,108
154,Руководитель digital-проектов,2018-10-01,124
155,Руководитель digital-проектов,2018-11-01,121
156,Руководитель digital-проектов,2018-12-01,156
157,Руководитель digital-проектов,2019-01-01,162
158,Руководитель digital-проектов,2019-02-01,154
159,Руководитель digital-проектов,2019-03-01,160
160,Руководитель digital-проектов,2019-04-01,127
161,Руководитель digital-проектов,2019-05-01,133
162,Руководитель digital-проектов,2019-06-01,114
163,Руководитель digital-проектов,2019-07-01,95
164,Веб-вёрстка для начинающих 2.0,2016-03-01,0
165,Веб-вёрстка для начинающих 2.0,2016-04-01,0
166,Веб-вёрстка для начинающих 2.0,2016-05-01,0
167,Веб-вёрстка для начинающих 2.0,2016-06-01,0
168,Веб-вёрстка для начинающих 2.0,2016-07-01,0
169,Веб-вёрстка для начинающих 2.0,2016-08-01,0
170,Веб-вёрстка для начинающих 2.0,2016-09-01,0
171,Веб-вёрстка для начинающих 2.0,2016-10-01,0
172,Веб-вёрстка для начинающих 2.0,2016-11-01,0
173,Веб-вёрстка для начинающих 2.0,2016-12-01,0
174,Веб-вёрстка для начинающих 2.0,2017-01-01,0
175,Веб-вёрстка для начинающих 2.0,2017-02-01,0
176,Веб-вёрстка для начинающих 2.0,2017-03-01,0
177,Веб-вёрстка для начинающих 2.0,2017-04-01,0
178,Веб-вёрстка для начинающих 2.0,2017-05-01,0
179,Веб-вёрстка для начинающих 2.0,2017-06-01,0
180,Веб-вёрстка для начинающих 2.0,2017-07-01,0
181,Веб-вёрстка для начинающих 2.0,2017-08-01,0
182,Веб-вёрстка для начинающих 2.0,2017-09-01,0
183,Веб-вёрстка для начинающих 2.0,2017-10-01,0
184,Веб-вёрстка для начинающих 2.0,2017-11-01,0
185,Веб-вёрстка для начинающих 2.0,2017-12-01,0
186,Веб-вёрстка для начинающих 2.0,2018-01-01,0
187,Веб-вёрстка для начинающих 2.0,2018-02-01,0
188,Веб-вёрстка для начинающих 2.0,2018-03-01,0
189,Веб-вёрстка для начинающих 2.0,2018-04-01,0
190,Веб-вёрстка для начинающих 2.0,2018-05-01,0
191,Веб-вёрстка для начинающих 2.0,2018-06-01,0
192,Веб-вёрстка для начинающих 2.0,2018-07-01,736
193,Веб-вёрстка для начинающих 2.0,2018-08-01,281
194,Веб-вёрстка для начинающих 2.0,2018-09-01,334
195,Веб-вёрстка для начинающих 2.0,2018-10-01,262
196,Веб-вёрстка для начинающих 2.0,2018-11-01,280
197,Веб-вёрстка для начинающих 2.0,2018-12-01,370
198,Веб-вёрстка для начинающих 2.0,2019-01-01,362
199,Веб-вёрстка для начинающих 2.0,2019-02-01,310
200,Веб-вёрстка для начинающих 2.0,2019-03-01,319
201,Веб-вёрстка для начинающих 2.0,2019-04-01,295
202,Веб-вёрстка для начинающих 2.0,2019-05-01,288
203,Веб-вёрстка для начинающих 2.0,2019-06-01,287
204,Веб-вёрстка для начинающих 2.0,2019-07-01,241
205,JavaScript с нуля,2016-03-01,0
206,JavaScript с нуля,2016-04-01,0
207,JavaScript с нуля,2016-05-01,0
208,JavaScript с нуля,2016-06-01,0
209,JavaScript с нуля,2016-07-01,0
210,JavaScript с нуля,2016-08-01,0
211,JavaScript с нуля,2016-09-01,0
212,JavaScript с нуля,2016-10-01,0
213,JavaScript с нуля,2016-11-01,0
214,JavaScript с нуля,2016-12-01,0
215,JavaScript с нуля,2017-01-01,0
216,JavaScript с нуля,2017-02-01,0
217,JavaScript с нуля,2017-03-01,0
218,JavaScript с нуля,2017-04-01,0
219,JavaScript с нуля,2017-05-01,0
220,JavaScript с нуля,2017-06-01,0
221,JavaScript с нуля,2017-07-01,0
